;name;latitude;longitude
379;Markersbach;50.5194;12.8798
380;Meitingen;48.547;10.8651
381;Merching;48.2704;10.9773
382;MiRO;49.0608;8.3244
383;Mitte;52.5117;13.4209
384;Moabit (Oil);52.5374;13.3461
385;Modellkraftwerk;49.249;6.8792
386;MÃ¼den;52.5219;10.3604
387;MÃ¼hltal;47.9963;11.4854
388;MÃ¼llheizkraftwerk Kassel;51.2976;9.5241
389;MÃ¼llheizkraftwerk Offenbach;50.0653;8.769
390;MÃ¼llheizkraftwerk Wuppertal;51.2251;7.1422
391;MÃ¼llkraftwerk Schwandorf;49.31;12.0879
392;MÃ¼llverwertung BorsigstraÃe MVB;53.5319;10.0746
393;NECKARWESTHEIM-2;49.0408;9.1759
394;Natural Gas Turbine #1;49.2095;7.936
395;Natural Gas Turbine #2;51.6627;10.3531
396;Natural Gas Turbine #3;51.1514;13.9776
397;Natural Gas Turbine #6;51.2212;6.7319
398;Natural Gas Turbine #7;49.4059;11.1329
399;Natural Gas Turbine #8;48.401;10.9358
400;Natural Gas Turbine #9;50.8305;6.9594
401;Natural Gas- u. Dampfturbinenanlage SÃ¼draum;49.2137;6.9781
402;Natural Gasblock;51.2214;6.7313
403;Natural Gaskraftwerk #1;50.7055;6.6536
404;Natural Gasmotore;47.8561;12.1341
405;Neef;50.0874;7.1358
406;Neurath;51.0395;6.615
407;NeuÃ¶tting;48.2486;12.6883
408;Niederaichbach;48.6039;12.3023
409;Niederaussem;50.993;6.6685
410;Niederwartha;51.0915;13.6098
411;Nord 2;48.1805;11.6393
412;NuÃdorf;47.7447;12.1357
413;O10;51.0695;6.8467
414;Oberaudorf-Ebbs;47.6413;12.199
415;Obernach;47.5547;11.2914
416;Obernburg;49.8293;9.1482
417;Oberpeiching;48.6464;10.8791
418;Oxea GmbH;51.5246;6.8011
419;P&L Werk Appeldorn;51.7297;6.3586
420;P&L Werk Euskirchen;50.658;6.8101
421;P&L Werk JÃ¼lich;50.9152;6.3693
422;P&L Werk KÃ¶nnern;51.6978;11.7581
423;P&L Werk Lage;51.9861;8.8073
424;PD energy GmbH;51.6296;12.2892
425;PHILIPPSBURG-2;49.2529;8.4364
426;Kraftwerk;53.4032;8.1282
427;Langenprozelten;50.0531;9.5814
428;Vianden;49.9523;6.1783
429;PWG;47.7895;11.0554
430;Passau-Ingling;48.5533;13.4337
431;Perach;47.9536;12.7499
432;Pforzheim;48.8973;8.7245
433;Pfrombach;48.4413;11.9923
434;Pielweichs;49.7943;10.1813
435;Prem;47.6927;10.7976
436;Prittriching;48.2106;10.9049
437;Glems;48.505;9.2869
438;Pumpspeicherwerk RÃ¶nkhausen;51.2248;7.9928
439;RADAG;47.5863;8.1321
440;RAG Anthrazit IbbenbÃ¼ren GmbH;52.2859;7.7461
441;REMONDIS Thermische Abfallverwertung GmbH;51.8661;11.5763
442;RMVA KÃ¶ln;51.0003;6.9436
443;RZR Herten II;51.5573;7.1641
444;Raffineriekraftwerk;51.2998;12.0193
445;Raffineriekraftwerk KÃ¶ln Godorf;50.8548;6.9808
446;Rain;48.6924;10.8978
447;Reno De Medici;51.3914;8.073
448;Restabfallbehandlungsanlage;50.6388;10.687
449;RestmÃ¼ll-Stuttgart-MÃ¼nster (Waste);48.8125;9.2189
450;RestmÃ¼llheizkraftwerk BÃ¶blingen;48.6855;9.0495
451;Reuter Waste Facility;52.5321;13.2461
452;Rheinhafen-Dampfkraftwerk;49.0134;8.3065
453;Rheinhafen-Dampfkraftwerk;49.013;8.304
454;Rheinkraftwerk Iffezheim;48.8314;8.1122
455;Rheinkraftwerk Reckingen;47.5714;8.3383
456;Rheinkraftwerk Ryburg-SchwÃ¶rstadt;47.5854;7.8327
457;Rheinkraftwerk SÃ¤ckingen;47.5585;7.9557
458;Rosenheim;47.8383;12.1533
459;Rostock;54.1428;12.1329
460;RoÃhaupten;47.6515;10.7355
461;Rudolf-Fettweis-Werk 2;48.6732;8.3557
462;SCA Mannheim;49.5349;8.4636
463;SITA Abfallverwertung GmbH;51.1816;12.0197
464;SKW Diesel;47.6835;10.3191
465;SKWturbine;47.6835;10.3191
466;STW;50.8741;13.3944
467;Scheuring;48.1802;10.8833
468;Schkopau;51.3985;11.9504
469;Scholven;51.6024;7.0099
470;Schwabstadl;48.1484;10.867
471;Schwammenauel;50.6285;6.4791
472;Schwarze Pumpe;51.5348;14.3531
473;SchÃ¤rding-Neuhaus;48.4356;13.4415
474;Serrig;49.567;6.5923
475;Sigmundshall;52.4185;9.3681
476;Spitzenlastanlage Barmen;51.2689;7.2003
477;Spitzenlastkraftwerk GroÃkayna;51.2919;11.9465
478;Spitzenlastkraftwerk Sermuth;51.1614;12.7815
479;Spitzenlastkraftwerk Wolfen;51.6431;12.2289
480;Stammham;48.2493;12.8647
481;Staudinger;50.0886;8.9534
482;Steinbeis Energie;53.7818;9.4258
483;Steinitz;52.83;11.1033
484;Stora Enso Maxau;49.0393;8.3113
485;Straubing;48.8966;12.5575
486;Stuttgart-Muenster;48.8158;9.2211
487;SÃ¤ckingen;47.5654;7.954
488;SÃ¼d DT1;48.1351;11.582
489;SÃ¼d DT60;48.1351;11.582
490;SÃ¼d GT 61;48.1351;11.582
491;TREA Breisgau;47.8906;7.6161
492;TREA Leuna;51.2998;12.0193
493;TRV Buschhaus;52.1714;10.9764
494;Tannheim;48.008;10.1185
495;Teufelsbruck;48.0574;12.2209
496;Thermische Abfallbehandlung LautaÂ GmbH & Co.Â oHG;51.4507;14.1121
497;Thyrow;52.2302;13.3019
498;Tiefstack;53.5262;10.0632
499;Trianel Kohlekraftwerk LÃ¼nen;51.6124;7.4653
500;Trianelkraftwerk;51.6739;7.9291
501;Trier;49.728;6.6245
502;Turbosatz 1;49.793;9.9941
503;TÃ¶ging;48.2518;12.5873
504;UPM Augsburg;48.3801;10.9014
505;UPM Schongau;47.8032;10.9043
506;UPM Schwedt;53.0867;14.3194
507;UTB;52.0778;13.5173
508;Unterbergen;48.2374;10.9272
509;Unterbreizbach;50.8132;9.9775
510;Unteropfingen;48.0613;10.1284
511;Uppenborn 1;48.4735;11.9548
512;Uppenborn 2;48.5152;12.101
513;Urspring;47.716;10.8258
514;Vohburg;48.7781;11.6012
515;WKW;47.5985;8.171
516;Wachtberg;50.8976;6.7931
517;Waehlitz;51.1666;12.0762
518;Walchensee;47.6314;11.3371
519;Waldeck 2;51.1671;9.0468
520;Waldeck1/Bringhausen;51.1671;9.0468
521;Walheim;49.0177;9.1577
522;Wasserburg;48.057;12.2207
523;Waste Incinerator #1;51.0167;6.9833
524;Wedel;53.5663;9.7285
525;Wedel;53.567;9.7244
526;Wehr;47.6453;7.9182
527;Weiher;49.3341;7.0314
528;Weisweiler;50.8392;6.3211
529;Wendefurth;51.7422;10.9188
530;Werkskraftwerk Sappi Alfeld 1;51.9848;9.8228
531;Werkskraftwerk Sappi Alfeld 2;51.9851;9.8225
532;Werkskraftwerk Sappi Ehingen;48.267;9.7262
533;Weserkraftwerk Bremen;53.0611;8.8649
534;Westfalen;51.6805;7.9696
535;Wi-Biebrich;50.0405;8.2532
536;Wilhelmshaven (Oil);53.5658;8.1462
537;Wilhelmshaven;53.5658;8.1462
538;Wilmersdorf;52.4816;13.3076
539;Wintershall;50.894;9.9972
540;Wintrich;49.8798;6.9488
541;Witznau;47.6879;8.2516
542;Wuppertal-Elberfeld;51.2484;7.1187
543;X-Kraftwerk;51.0144;6.9873
544;ZWSF;52.535;12.3626
545;Zellstoff Stendal GmbH;52.7271;12.0112
546;Zeltingen;49.9511;7.0232
547;Zielitz;52.2985;11.6796
548;Zolling;48.4554;11.7995
