BEGINN_DATUM;BEGINN_UHRZEIT;ENDE_DATUM;ENDE_UHRZEIT;NETZREGION;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE
05.01.2015;00:00;05.01.2015;15:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;573;950;8600;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Lippendorf Vattenfall, Moorburg, Schkopau, Schwarze Pumpe
05.01.2015;00:00;05.01.2015;14:15;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;244;350;3475;TenneT DE;50Hertz & TenneT DE;Gebersdorf 2
05.01.2015;00:00;05.01.2015;03:15;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;222;300;722;TenneT DE;50Hertz & TenneT DE;Zolling 5
06.01.2015;16:00;06.01.2015;23:30;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;205;350;1535;TenneT DE;50Hertz & TenneT DE;Gebersdorf 2
06.01.2015;17:00;07.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;364;550;2550;50Hertz;50Hertz & TenneT DE;Markersbach, Schkopau
07.01.2015;00:00;07.01.2015;11:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;332;650;3650;50Hertz;50Hertz & TenneT DE;Schkopau
07.01.2015;00:00;07.01.2015;06:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;200;200;1200;TransnetBW;TenneT DE;Grosskraftwerk Mannheim AG 
07.01.2015;00:00;07.01.2015;02:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;400;450;800;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
07.01.2015;15:30;07.01.2015;20:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;60;60;270;TenneT DE;50Hertz & TenneT DE;Statkraft KW-Pool
07.01.2015;15:30;08.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;259;400;2200;50Hertz;50Hertz & TenneT DE;Schkopau
07.01.2015;15:30;07.01.2015;20:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;140;140;630;TransnetBW;TenneT DE;Vorarlberger Illwerke AG
